id	broker_name	collected_by	center_name
1296		San Francisco Public Health Laboratory	SUB8159032
1297		Humboldt County Public Health Laboratory	SUB8159032
1298		Texas Department of State Health Services	SUB8190223
1299		Virginia DCLS	SUB8190336
1300		Virginia DCLS	SUB8190366
1301		Virginia DCLS	SUB8190491
1302		Virginia DCLS	SUB8190509
1303		Virginia DCLS	SUB8190541
1304		Virginia DCLS	SUB8190550
1305		Virginia DCLS	SUB8190623
1306		Virginia DCLS	SUB8190628
1307		Virginia DCLS	SUB8190632
1308		Virginia DCLS	SUB8190747
1309		Virginia DCLS	SUB8190779
1310		New Mexico Department of Health Scientific Laboratory	SUB8197312
1311		Texas Department of State Health Services	SUB8197536
1312		Wyoming Public Health Laboratory	SUB8197622
1313		Wyoming Public Health Laboratory	SUB8198618
1314		NIBSC	SUB8205054
1315		INDISA	SUB8205830
1316		CSIR Institute of Genomics and Integrative Biology (CSIR-IGIB), Mathura Road, Delhi 110025, India	SUB8214764
1317		Ahmed Babiker	SUB8217127
1318		University of Florida	SUB8219868
1319		Massachusetts Department of Public Health	SUB8220224
1320		ACEGID	SUB8221726
1321		Texas Department of State Health Services	SUB8229336
1322		Utah Public Health Laboratory	SUB8231265
1323		Utah Public Health Laboratory	SUB8231287
1324		BIOQUAL	SUB8241094
1325		Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	SUB8241494
1326		Victorian Infectious Diseases Reference Laboratory (VIDRL)	SUB8241494
1327		Victorian Infectious Diseases Reference Laboratory (VIDRL)	SUB8242611
1328		Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	SUB8242611
1329		Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	SUB8242774
1330		Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	SUB8243070
1331		Victorian Infectious Diseases Reference Laboratory (VIDRL)	SUB8243070
1332		Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	SUB8243359
1333		Victorian Infectious Diseases Reference Laboratory (VIDRL)	SUB8243359
1334		Influenza Research Institute	SUB8253406
1335		DPHL	SUB8253505
1336		County of Santa Clara Public Health Department	SUB8253774
1337		Orange County Public Health Laboratory	SUB8253774
1338		County of San Luis Obispo Public Health Laboratory	SUB8253774
1339		Contra Costa Public Health Lab	SUB8253774
1340		UCSF Clinical Microbiology Laboratory	SUB8253774
1341		University of California, Davis	SUB8253774
1342		Ventura County Public Health Lab	SUB8253774
1343		Tuolumne County Public Health	SUB8253774
1344			SUB8255436
1345		Texas Department of State Health Services	SUB8263215
1346		New Mexico Department of Health Scientific Laboratory	SUB8263942
1347		Mediclu	SUB8271460
1348		St. James Hospital	SUB8274045
1349		Texas Department of State Health Services	SUB8274627
1350		New Mexico Department of Health Scientific Laboratory	SUB8275386
1351		Virginia DCLS	SUB8281059
1352		Virginia DCLS	SUB8281064
1353		Virginia DCLS	SUB8281069
1354		Virginia DCLS	SUB8281074
1355		IIUM	SUB8282835
1356		St. James Hospital	SUB8286376
1357		Utah Public Health Laboratory	SUB8287060
1358		Utah Public Health Laboratory	SUB8287061
1359		Utah Public Health Laboratory	SUB8291828
1360		Utah Public Health Laboratory	SUB8291901
1361		Utah Public Health Laboratory	SUB8292232
1362		Texas Department of State Health Services	SUB8298457
1363		Texas Department of State Health Services	SUB8299393
1364		Institute of Virology and Immunology (IVI), University of Bern	SUB8314509
1365		University of California, Davis	SUB8318014
1366		Utah Public Health Laboratory	SUB8318572
1367		Utah Public Health Laboratory	SUB8318600
1368		Utah Public Health Laboratory	SUB8318707
1369		Utah Public Health Laboratory	SUB8319398
1370		Orange County Public Health Lab	SUB8323683
1371		County of Santa Clara Public Health Department	SUB8323683
1372		San Bernardino County Public Health Lab	SUB8323683
1373		Tulare County Public Health Lab	SUB8323683
1374		Humboldt County Public Health Laboratory	SUB8323683
1375		San Luis Obispo Public Health Department	SUB8323683
1376		UCSF Clinical Microbiology Laboratory	SUB8323683
1377		Marin County Public Health Department	SUB8323683
1378		San Francisco Public Health Laboratory	SUB8323683
1379			SUB8324131
1380		Friedrich-Loeffler-Institut for Animal Health, Greifswald Insel-Riems	SUB8324365
1381			SUB8325406
1382		Arab American University	SUB8326353
1383		Texas Department of State Health Services	SUB8328771
1384		Texas Department of State Health Services	SUB8331535
1385		Texas Department of State Health Services	SUB8367799
1386		NIMHANS	SUB8372065
1387		NIMHANS	SUB8372915
1388		B.J. Medical College and Civil hospital, Ahmedabad	SUB8374854
1389		GCRI,Ahmedabad	SUB8374854
1390		Saikrishna Hospital,Mehsana	SUB8374854
1391		GMERS GMERS Medical College and Hospital, Junagadh	SUB8374854
1392		CCC,Veraval	SUB8374854
1393		Government Hospital,Veraval	SUB8374854
1394		General Hospital,Godhra	SUB8374854
1395		Government General Hospital, Jam Khambhaliya, Devbhoomi Dwarka	SUB8374854
1396		Zydus Medical Hospital,Dahod	SUB8374854
1397		General Hospital,Chhotaudepur	SUB8374854
1398		NIMHANS	SUB8384678
1399		EMS	SUB8385972
1400		Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	SUB8393317
1401		Victorian Infectious Diseases Reference Laboratory (VIDRL)	SUB8393317
1402		Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	SUB8393344
1403		Victorian Infectious Diseases Reference Laboratory (VIDRL)	SUB8393344
1404		Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	SUB8393346
1405		Victorian Infectious Diseases Reference Laboratory (VIDRL)	SUB8393346
1406		NIMHANS	SUB8394028
1407		NIMHANS	SUB8394703
1408		NIMHANS	SUB8395187
1409		NIMHANS	SUB8395757
1410		NIMHANS	SUB8395800
1411		NIMHANS	SUB8395827
1412		NIMHANS	SUB8395932
1413		Utah Public Health Laboratory	SUB8396738
1414		Utah Public Health Laboratory	SUB8396913
1415		Utah Public Health Laboratory	SUB8396980
1416		Utah Public Health Laboratory	SUB8398185
1417		Texas Department of State Health Services	SUB8405727
1418		Stanford University	SUB8411999
1419		ATCC	SUB8419105
1420		New Mexico Department of Health Scientific Laboratory	SUB8420059
1421			SUB8420095
1422		Utah Public Health Laboratory	SUB8436237
1423			SUB8442223
1424		Texas Department of State Health Services	SUB8443635
1425		Quest Diagnostics	SUB8457068
1426		UESC	SUB8457083
1427		IPESADE-SE	SUB8457083
1428			SUB8459696
1429		Utah Public Health Laboratory	SUB8461569
1430		Texas Department of State Health Services	SUB8462240
1431		Texas Department of State Health Services	SUB8466845
1432		Quest Diagnostics	SUB8466910
1433		Texas Department of State Health Services	SUB8467795
1434		National Centre for Disease Control, New Delhi	SUB8474341
1435		Virginia DCLS	SUB8476149
1436		Virginia DCLS	SUB8476155
1437		Virginia DCLS	SUB8476171
1438		Virginia DCLS	SUB8476178
1439		Virginia DCLS	SUB8476233
1440		Virginia DCLS	SUB8476237
1441		Virginia DCLS	SUB8476243
1442		Virginia DCLS	SUB8476244
1443		Virginia DCLS	SUB8476248
1444		NIMHANS	SUB8476589
1445		Utah Public Health Laboratory	SUB8478941
1446		Quest Diagnostics	SUB8479343
1447		UCSF Clinical Microbiology Laboratory	SUB8479514
1448		Santa Clara County Public Health Laboratory	SUB8479514
1449		County of San Luis Obispo Public Health Laboratory	SUB8479514
1450		Alameda County Public Health Lab	SUB8479514
1451		San Joaquin County Public Health Lab	SUB8479514
1452		Orange County Public Health Lab	SUB8479514
1453		Quest Diagnostics	SUB8484182
1454		Quest Diagnostics	SUB8485315
1455		The Peter Doherty Institute for Infection and Immunity	SUB8485435
1456		CSIR Institute of Genomics and Integrative Biology (CSIR-IGIB), Mathura Road, Delhi 110025, India	SUB8486477
1457		Texas Department of State Health Services	SUB8487921
1458		NSW Health Pathology East Serology and Virology Division (SaViD)	SUB8488351
1459		Utah Public Health Laboratory	SUB8488736
1460		Utah Public Health Laboratory	SUB8488738
1461		Utah Public Health Laboratory	SUB8488740
1462		Cadham Provincial Laboratory	SUB8489040
1463		UFRJ	SUB8491796
1464		SIMILI/UFMG	SUB8491796
1465		Texas Department of State Health Services	SUB8493767
1466			SUB8518381
1467			SUB8542731
1468		Utah Public Health Laboratory	SUB8543828
1469		Quest Diagnostics	SUB8553648
1470		Quest Diagnostics	SUB8553683
1471		Quest Diagnostics	SUB8554967
1472		COVID-19 patient	SUB8560464
1473		Texas Department of State Health Services	SUB8562929
1474		Delaware Public Health Lab	SUB8563136
1475		Utah Public Health Laboratory	SUB8564579
1476		New Mexico Department of Health Scientific Laboratory	SUB8572761
1477		New Mexico Department of Health Scientific Laboratory	SUB8573088
1478		Texas Department of State Health Services	SUB8574103
1479		The Peter Doherty Institute for Infection and Immunity	SUB8574327
1480		Quest Diagnostics	SUB8574423
1481		Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	SUB8574828
1482		Victorian Infectious Diseases Reference Laboratory (VIDRL)	SUB8574828
1483		Victorian Infectious Diseases Reference Laboratory (VIDRL)	SUB8574831
1484		Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	SUB8574831
1485		Laboratorio clinico HIAE	SUB8576729
1486		Zurita &amp; Zurita Laboratorios	SUB8576787
1487		Quest Diagnostics	SUB8578487
1488		UFL	SUB8582456
1489		BIOQUAL	SUB8582751
1490			SUB8587468
1491		Utah Public Health Laboratory	SUB8587823
1492		Santa Clara County Public Health Laboratory	SUB8589150
1493		Madera County Department of Public Health	SUB8589150
1494		UCSF Clinical Microbiology Laboratory	SUB8589150
1495		Tulare County Public Health Lab	SUB8589150
1496		Orange County Public Health Lab	SUB8589150
1497		Quest Diagnostics	SUB8608954
1498		University of Michigan	SUB8621406
1499		Texas Department of State Health Services	SUB8621896
1500			SUB8622082
1501		Texas Department of State Health Services	SUB8622294
1502		NIH	SUB8624306
1503			SUB8624306
1504		Division of Infectious Diseases, Department of Internal Medicine, Yonsei University College of Medicine	SUB8626681
1505		Brigham and Women&apos;s Hospital	SUB8647245
1506		Quest Diagnostics	SUB8653103
1507		Quest Diagnostics	SUB8653736
1508			SUB8654793
1509		G42 Healthcare	SUB8654960
1510		Quest Diagnostics	SUB8656131
1511		Quest Diagnostics	SUB8656191
1512		Quest Diagnostics	SUB8656234
1513		LSUHS EVTL	SUB8656940
1514		Department of Pathology, University of Cambridge	SUB8670007
1515		LSUHS EVTL	SUB8670130
1516		LSUHS EVTL	SUB8670500
1517		Quest Diagnostics	SUB8670517
1518		Quest Diagnostics	SUB8670538
1519		Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	SUB8670787
1520		Victorian Infectious Diseases Reference Laboratory (VIDRL)	SUB8670787
1521		Texas Department of State Health Services	SUB8676488
1522		LSUHS EVTL	SUB8677353
1523		LSUHS EVTL	SUB8677665
1524		LSUHS EVTL	SUB8677733
1525		Quest Diagnostics	SUB8677901
1526		b1	SUB8681480
1527		University of Michigan	SUB8681667
1528		LSUHS EVTL	SUB8682352
1529		Quest Diagnostics	SUB8682353
1530		LSUHS EVTL	SUB8682367
1531		Santa Clara County Public Health Laboratory	SUB8682553
1532		The Ashley Laboratory, Stanford University	SUB8682553
1533		UCSF Clinical Microbiology Laboratory	SUB8682553
1534		Fresno County Public Health Laboratory	SUB8682553
1535		Madera County Department of Public Health	SUB8682553
1536		Alameda County Public Health Lab	SUB8682553
1537		Orange County Public Health Lab	SUB8682553
1538		County of San Luis Obispo Public Health Laboratory	SUB8682553
1539		San Francisco Public Health Laboratory	SUB8682553
1540		Contra Costa County Public Health Lab	SUB8682553
1541		Utah Public Health Laboratory	SUB8682696
1542		Texas Department of State Health Services	SUB8685241
1543		University of Washington Virology Lab	SUB8686027
1544		LSUHS EVTL	SUB8686088
1545		LSUHS EVTL	SUB8686137
1546		University of Washington Virology Lab	SUB8686772
1547		LSUHS EVTL	SUB8686854
1548		Quest Diagnostics	SUB8691571
1549		The Peter Doherty Institute for Infection and Immunity	SUB8691818
1550		Department of Pathology, University of Cambridge, Cambridge	SUB8692832
1551		Utah Public Health Laboratory	SUB8693596
1552		Texas Department of State Health Services	SUB8694292
1553		Texas Department of State Health Services	SUB8702463
1554		LSUHS EVTL	SUB8709011
1555			SUB8709143
1556		Quest Diagnostics	SUB8709666
1557		Utah Public Health Laboratory	SUB8709769
1558		The Peter Doherty Institute for Infection and Immunity	SUB8714825
1559		Academic Consortium	SUB8718963
1560		Academic Consortium	SUB8719039
1561		Quest Diagnostics	SUB8719761
1562		Quest Diagnostics	SUB8719851
1563		LSUHS EVTL	SUB8719874
1564		Texas Department of State Health Services	SUB8719881
1565		Quest Diagnostics	SUB8723054
1566		Quest Diagnostics	SUB8723056
1567		Gazi University Faculty of Medicine, Medical Virology Laboratory	SUB8743700
1568		UFRJ	SUB8749719
1569		LACEN RJ - Noel Nutels	SUB8749719
1570		LACEN Dr. Francisco Rimolo Neto	SUB8749719
1571		Texas Department of State Health Services	SUB8750137
1572		Texas Department of State Health Services	SUB8754951
1573		IRCCS Policlinico San Matteo	SUB8755022
1574		Delaware Public Health Lab	SUB8755867
1575		Texas Department of State Health Services	SUB8756269
1576		LSUHS EVTL	SUB8756347
1577		CDPHE	SUB8759703
1578		LSUHS EVTL	SUB8763114
1579			SUB8766633
1580		G42 Healthcare	SUB8774011
1581		Delaware Public Health Lab	SUB8790161
1582		New Mexico Department of Health Scientific Laboratory	SUB8791796
1583		Korea Research Institute of Bioscience and Biotechnology	SUB8798064
1584		Gazi University Faculty of Medicine, Medical Virology Laboratory	SUB8802353
1585		Texas Department of State Health Services	SUB8807919
1586			SUB8807970
1587			SUB8808193
1588		Utah Public Health Laboratory	SUB8808851
1589		Academic Consortium	SUB8811080
1590		Texas Department of State Health Services	SUB8811280
1591		IRCCS Sacro Cuore Don Calabria	SUB8812938
1592		Utah Public Health Laboratory	SUB8813973
1593		Utah Public Health Laboratory	SUB8814099
1594			SUB8818865
1595		Texas Department of State Health Services	SUB8819094
1596		CDPHE	SUB8819445
1597		New Mexico Department of Health Scientific Laboratory	SUB8819551
1598			SUB8836858
1599		Hospital Universitari Vall dHebron, Vall dHebron Research Institute, Universitat Autonoma de Barcelona.	SUB8843029
1600		Laboratory of Viruses Contaminants of Water and Food; Genetics, Microbiology &amp; Statistics Dept.; Universitat de Barcelona.	SUB8843029
1601			SUB8843065
1602		Texas Department of State Health Services	SUB8847029
1603		Texas Department of State Health Services	SUB8850712
1604		Texas Department of State Health Services	SUB8850794
1605		Virginia DCLS	SUB8850929
1606		Saratoga Hospital Laboratory	SUB8851096
1607		New Mexico Department of Health Scientific Laboratory	SUB8863931
1608		Mohd. Raeed Jamiruddin	SUB8865439
1609		Nihad Adnan	SUB8865439
1610		Utah Public Health Laboratory	SUB8866295
1611		New Mexico Department of Health Scientific Laboratory	SUB8866633
1612		Massachusetts General Hospital	SUB8870814
1613		Centre for DNA Fingerprinting and Diagnostics	SUB8870958
1614		Nizams Institute of Medical Sciences	SUB8870958
1615		Universidad Iberoamericana Instituto de Medicina Tropical &amp; Salud Global Ave. Francia 129, Gascue Santo Domingo, 22333 Dominican Republic	SUB8875266
1616		University of Bari Biomedical Sciences and Human Oncology	SUB8878150
1617		Vault Health	SUB8878604
1618		UMN Medcenter, East Bank	SUB8878604
1619		Vault Health	SUB8878781
1620		UMN Medcenter, East Bank	SUB8878781
1621		CDPHE	SUB8879533
1622		Utah Public Health Laboratory	SUB8879846
1623		Utah Public Health Laboratory	SUB8879848
1624			SUB8884311
1625			SUB8885163
1626			SUB8885199
1627		Quest Diagnostics	SUB8885208
1628			SUB8885217
1629		Massachusetts General Hospital	SUB8885347
1630			SUB8885359
1631		Massachusetts General Hospital	SUB8888943
1632		Brigham and Womens Hospital	SUB8888943
1633		Massachusetts General Hospital	SUB8888944
1634		CSIR Institute of Genomics and Integrative Biology (CSIR-IGIB), Mathura Road, Delhi 110025, India	SUB8889239
1635		Delaware Public Health Lab	SUB8890207
1636		Utah Public Health Laboratory	SUB8890584
1637		MRC-University of Glasgow Centre for Virus Research	SUB8892227
1638		North Carolina State Laboratory of Public Health	SUB8898292
1639		Texas Department of State Health Services	SUB8898753
1640			SUB8898960
1641		New Mexico Department of Health Scientific Laboratory	SUB8898993
1642		Texas Department of State Health Services	SUB8899307
1643		Michigan Department of Health and Human Services	SUB8901344
1644		New Mexico Department of Health Scientific Laboratory	SUB8901349
1645		Cornell University	SUB8904074
1646		UWHC	SUB8908121
1647		Utah Public Health Laboratory	SUB8913943
1648		Utah Public Health Laboratory	SUB8913956
1649		Utah Public Health Laboratory	SUB8913959
1650			SUB8914231
1651		Institute of Medical Virology, Justus Liebig University Giessen	SUB8916598
1652		Laboratorio de Microbiologia Molecular - Universidade FEEVALE	SUB8917319
1653		Utah Public Health Laboratory	SUB8917982
1654		Quest Diagnostics	SUB8918224
1655		Texas Department of State Health Services	SUB8918410
1656		CDPHE	SUB8918425
1657		Delaware Public Health Lab	SUB8922466
1658		Quest Diagnostics	SUB8925299
1659		New Mexico Department of Health Scientific Laboratory	SUB8928618
1660		Texas Department of State Health Services	SUB8934479
1661			SUB8935188
1662		Quest Diagnostics	SUB8935357
1663		Santa Clara County Public Health Laboratory	SUB8935446
1664		Alameda County Public Health Lab	SUB8935446
1665		Madera County Department of Public Health	SUB8935446
1666		Napa-Solano-Yolo- Marin County (NSYM) Public Health Laboratories	SUB8935446
1667		Humboldt County Public Health Laboratory	SUB8935446
1668		Tulare County Public Health Lab	SUB8935446
1669		Renegade	SUB8935446
1670		Orange County Public Health Lab	SUB8935446
1671		UCSF Clinical Microbiology Laboratory	SUB8935446
1672		San Francisco Public Health Laboratory	SUB8935446
1673		Monterey County Public Health Lab	SUB8935446
1674		Renegade	SUB8935459
1675		Monterey County Public Health Lab	SUB8935459
1676		Orange County Public Health Lab	SUB8935459
1677		Santa Clara County Public Health Laboratory	SUB8935459
1678		County of San Luis Obispo Public Health Laboratory	SUB8935459
1679		Toronto Invasive Bacterial Diseases Network	SUB8935726
1680		Eastern Ontario Regional Laboratory Association	SUB8935726
1681		Colorado Mesa University	SUB8935727
1682		University of Massachusetts Medical School	SUB8935727
1683		Rhode Island Department of Health	SUB8935727
1684		Emam Ali Hospital	SUB8935781
1685		Vault Health	SUB8941792
1686		M Health Fairview	SUB8941792
1687		Quest Diagnostics	SUB8951764
1688			SUB8960462
1689			SUB8961723
1690		Quest Diagnostics	SUB8963862
1691		Virginia DCLS	SUB8979715
1692			SUB8979723
1693		Virginia DCLS	SUB8979741
1694		Virginia DCLS	SUB8979766
1695		Virginia DCLS	SUB8979776
1696		Virginia DCLS	SUB8979826
1697		Virginia DCLS	SUB8979859
1698		Virginia DCLS	SUB8979884
1699		Virginia DCLS	SUB8979898
1700		Virginia DCLS	SUB8979938
1701		Virginia DCLS	SUB8979991
1702		Virginia DCLS	SUB8980395
1703		Virginia DCLS	SUB8980405
1704		Virginia DCLS	SUB8980485
1705		Virginia DCLS	SUB8980570
1706			SUB8981038
1707			SUB8986060
1708		Guangzhou Institute of Respiratory Disease	SUB8995550
1709		New Mexico Department of Health Scientific Laboratory	SUB8998742
1710		New Mexico Department of Health Scientific Laboratory	SUB8998785
1711		Hamad Medical Corporation	SUB8998892
1712		Netcare	SUB8999539
1713		National Health Service Laboratory	SUB8999539
1714		Texas Department of State Health Services	SUB9017771
1715		Quest Diagnostics	SUB9017939
1716		Quest Diagnostics	SUB9018150
1717		Quest Diagnostics	SUB9023038
1718		Utah Public Health Laboratory	SUB9023464
1719		Quest Diagnostics	SUB9023709
1720		United States Air Force School of Aerospace Medicine	SUB9023945
1721		New Brunswick Diagnostic Virology Reference Center	SUB9024610
1722		Hamad Medical Corporation	SUB9027219
1723		Texas Department of State Health Services	SUB9028099
1724		Quest Diagnostics	SUB9028321
1725		Utah Public Health Laboratory	SUB9028548
1726		Utah Public Health Laboratory	SUB9028742
1727		New Mexico Department of Health Scientific Laboratory	SUB9028879
1728		Utah Public Health Laboratory	SUB9028901
1729		New Brunswick Diagnostic Virology Reference Center	SUB9029221
1730			SUB9030652
1731		National Health Service Laboratory	SUB9030951
1732		Delaware Public Health Lab	SUB9031144
1733		Quest Diagnostics	SUB9035700
1734		Santa Clara County Public Health Laboratory	SUB9036114
1735		UC Davis- Department of Pathology and Laboratory Medicine	SUB9036114
1736		UCSF Clinical Microbiology Laboratory	SUB9036114
1737		Renegade	SUB9036114
1738		Orange County Public Health Lab	SUB9036114
1739		New Mexico Department of Health Scientific Laboratory	SUB9039994
1740		New Mexico Department of Health Scientific Laboratory	SUB9040028
1741		Utah Public Health Laboratory	SUB9040820
1742		Utah Public Health Laboratory	SUB9040823
1743		Utah Public Health Laboratory	SUB9040877
1744			SUB9043406
1745		ErasmusMC	SUB9044645
1746		Texas Department of State Health Services	SUB9047222
1747			SUB9047436
1748		CDPHE	SUB9051116
1749		Texas Department of State Health Services	SUB9051192
1750		Delaware Public Health Lab	SUB9051355
1751			SUB9051487
1752			SUB9053557
1753		Helix	SUB9053579
1754		Utah Public Health Laboratory	SUB9058532
1755		Public Health Emergency Operation Center, Ministry of Health, Yaounde, Cameroon	SUB9058566
1756		Utah Public Health Laboratory	SUB9059009
1757		Utah Public Health Laboratory	SUB9059178
1758		Delaware Public Health Lab	SUB9060686
1759		Utah Public Health Laboratory	SUB9060717
1760		Utah Public Health Laboratory	SUB9060726
1761		Quest Diagnostics	SUB9061218
1762		Texas Department of State Health Services	SUB9063743
1763		Santa Clara County Public Health Laboratory	SUB9064020
1764		Orange County Public Health Lab	SUB9064217
1765		UC Davis- Department of Pathology and Laboratory Medicine	SUB9064217
1766		Alameda County Public Health Lab	SUB9064217
1767		Santa Clara County Public Health Laboratory	SUB9064217
1768		Humboldt County Public Health Laboratory	SUB9064217
1769		Santa Clara County Public Health Laboratory	SUB9064229
1770		Humboldt County Public Health Laboratory	SUB9064229
1771		Orange County Public Health Lab	SUB9064229
1772		Santa Clara County Public Health Laboratory	SUB9064233
1773		Humboldt County Public Health Laboratory	SUB9064233
1774		County of San Luis Obispo Public Health Laboratory	SUB9064233
1775		Santa Clara County Public Health Laboratory	SUB9064245
1776		Humboldt County Public Health Laboratory	SUB9064245
1777		Orange County Public Health Lab	SUB9064245
1778		Texas Department of State Health Services	SUB9064583
1779		Santa Clara County Public Health Laboratory	SUB9065309
1780		California Institute of Technology	SUB9065309
1781		Orange County Public Health Lab	SUB9065309
1782		Utah Public Health Laboratory	SUB9065336
1783		Texas Department of State Health Services	SUB9073112
1784		CDPHE	SUB9075456
1785		Broad Institute Clinical Research Sequencing Platform	SUB9075517
1786		Rhode Island Department of Health	SUB9075517
1787		Massachusetts General Hospital	SUB9075517
1788		Flow Health	SUB9075517
1789		University of Massachusetts Medical School	SUB9075517
1790		COVID Research Cell, Wazed Mia Science Research Center	SUB9081985
1791		Gazi University Faculty of Medicine, Medical Virology Laboratory	SUB9082117
1792		COVID Research Cell, Wazed Mia Science Research Center	SUB9090081
1793		New Mexico Department of Health Scientific Laboratory	SUB9090456
1794		Massachusetts General Hospital	SUB9091394
1795		Warrior Diagnostics Laboratory	SUB9091394
1796		Broad Institute Clinical Research Sequencing Platform	SUB9091394
1797		Rhode Island Department of Health	SUB9091394
1798		Ohio Department of Health	SUB9094059
1799		Texas Department of State Health Services	SUB9096351
1800		New Mexico Department of Health Scientific Laboratory	SUB9100932
1801		Alameda County Public Health Lab	SUB9100963
1802		Santa Clara County Public Health Laboratory	SUB9100963
1803		Orange County Public Health Lab	SUB9100963
1804		County of San Luis Obispo Public Health Laboratory	SUB9100963
1805		Orange County Public Health Lab	SUB9100968
1806		Santa Clara County Public Health Laboratory	SUB9100968
1807		Alameda County Public Health Lab	SUB9100968
1808		Humboldt County Public Health Laboratory	SUB9100968
1809		Orange County Public Health Lab	SUB9100977
1810		Santa Clara County Public Health Laboratory	SUB9100977
1811		Contra Costa County Public Health Lab	SUB9100977
1812		Humboldt County Public Health Laboratory	SUB9100977
1813		Utah Public Health Laboratory	SUB9109494
1814		Utah Public Health Laboratory	SUB9109534
1815		CDPHE	SUB9109883
1816		Delaware Public Health Lab	SUB9123735
1817		New Mexico Department of Health Scientific Laboratory	SUB9125994
1818			SUB9129574
1819		New Mexico Department of Health Scientific Laboratory	SUB9131704
1820		Utah Public Health Laboratory	SUB9132755
1821		QMH	SUB9135928
1822		North Carolina State Laboratory of Public Health	SUB9141323
1823		Colorado State University	SUB9142020
1824		Santa Clara County Public Health Laboratory	SUB9142289
1825		North Carolina State Laboratory of Public Health	SUB9142338
1826		Broad Institute Clinical Research Sequencing Platform	SUB9142737
1827		Utah Public Health Laboratory	SUB9143128
1828		CDPHE	SUB9167037
1829		New Mexico Department of Health Scientific Laboratory	SUB9167476
1830			SUB9172040
1831		Utah Public Health Laboratory	SUB9176839
1832		New Mexico Department of Health Scientific Laboratory	SUB9189956
1833		Massachusetts General Hospital	SUB9190295
1834		Rhode Island Department of Health	SUB9190295
1835		Broad Institute Clinical Research Sequencing Platform	SUB9190295
1836		Hamad Medical Corporation	SUB9190431
1837		WRCEVA	SUB9193892
1838		Vineet Menachery	SUB9193892
1839		Armed Forces Medical Research Laboratories and Blood Bank, Egypt	SUB9194476
1840		Texas Department of State Health Services	SUB9196503
1841		Delaware Public Health Lab	SUB9200476
1842		Texas Department of State Health Services	SUB9202211
1843			SUB9205398
1844		UW Virology Lab	SUB9206927
1845		CDPHE	SUB9207077
1846		Philippine Genomic Biosurveillance Network	SUB9214452
1847			SUB9217533
1848			SUB9217614
1849		National Health Service Laboratory	SUB9217618
1850		NIBSC, UK	SUB9219466
1851		Utah Public Health Laboratory	SUB9219656
1852		Laboratorio de Microbiologia Molecular - Universidade Feevale	SUB9220292
1853		University of Ottawa	SUB9220504
1854		Texas Department of State Health Services	SUB9221662
1855		Texas Department of State Health Services	SUB9222914
1856		North Carolina State Laboratory of Public Health	SUB9227570
1857		Delaware Public Health Lab	SUB9228252
1858		Alameda County Public Health Lab	SUB9229489
1859		CA DPH Viral and Rickettsial Disease Laboratory	SUB9229489
1860		Santa Clara County Public Health Laboratory	SUB9229489
1861		Orange County Public Health Lab	SUB9229489
1862		Santa Clara County Public Health Laboratory	SUB9229621
1863		CA DPH Viral and Rickettsial Disease Laboratory	SUB9229621
1864		Orange County Public Health Lab	SUB9229621
1865		Alameda County Public Health Lab	SUB9229621
1866		Alameda County Public Health Lab	SUB9229691
1867		CA DPH Viral and Rickettsial Disease Laboratory	SUB9229691
1868		Orange County Public Health Lab	SUB9229691
1869		Santa Clara County Public Health Laboratory	SUB9229691
1870		CA DPH Viral and Rickettsial Disease Laboratory	SUB9229782
1871		Alameda County Public Health Lab	SUB9229782
1872		Humboldt County Public Health Laboratory	SUB9229782
1873		County of San Luis Obispo Public Health Laboratory	SUB9229782
1874		Utah Public Health Laboratory	SUB9230685
1875		Texas Department of State Health Services	SUB9231299
1876		New Mexico Department of Health Scientific Laboratory	SUB9232707
1877		Texas Department of State Health Services	SUB9248068
1878		New Mexico Department of Health Scientific Laboratory	SUB9248412
1879		New Mexico Department of Health Scientific Laboratory	SUB9249280
1880		New Mexico Department of Health Scientific Laboratory	SUB9249318
1881		Utah Public Health Laboratory	SUB9251545
1882		Utah Public Health Laboratory	SUB9253254
1883		Texas Department of State Health Services	SUB9254077
1884		Texas Department of State Health Services	SUB9265495
1885			SUB9267769
1886		Shenandoah University School of Pharmacy	SUB9268342
1887		National Health Laboratory service	SUB9278021
1888		Contra Costa County Public Health Lab	SUB9282386
1889		CA DPH Viral and Rickettsial Disease Laboratory	SUB9282386
1890		Alameda County Public Health Lab	SUB9282386
1891		Santa Clara County Public Health Laboratory	SUB9282386
1892		Alameda County Public Health Lab	SUB9283260
1893		Humboldt County Public Health Laboratory	SUB9283260
1894		Orange County Public Health Lab	SUB9283260
1895		Santa Clara County Public Health Laboratory	SUB9283260
1896		California Institute of Technology	SUB9283260
